Date,미결제 약정 (Open Interest)
2022.4.16,12709964243
2022.4.17,12763204629
2022.4.18,12593603933
2022.4.19,12901937348
2022.4.20,12733224670
2022.4.21,12533743491
2022.4.22,12983816211
2022.4.23,13032632422
2022.4.24,12837164752
2022.4.25,12907323860
2022.4.26,12885457979
2022.4.27,12621738046
2022.4.28,12592194536
2022.4.29,12567358856
2022.4.30,12451027893
2022.5.1,12481118134
2022.5.2,12344630170
2022.5.3,13072887933
2022.5.4,13005850813
2022.5.5,12576112510
2022.5.6,12284106205
2022.5.7,12305672254
2022.5.8,11772381660
2022.5.9,10080835755
2022.5.10,10023717412
2022.5.11,9702860576
2022.5.12,9224504526
2022.5.13,9531445013
2022.5.14,9409717372
2022.5.15,9994977131
2022.5.16,9709833500
2022.5.17,9869196831
2022.5.18,9797254554
2022.5.19,10597170600
2022.5.20,10264521546
2022.5.21,10171351183
2022.5.22,10720197778
2022.5.23,10428589154
2022.5.24,10607866805
2022.5.25,10565269709
2022.5.26,10624087814
2022.5.27,10462219574
2022.5.28,10659026636
2022.5.29,11161517633
2022.5.30,11770326080
2022.5.31,11996954022
2022.6.1,11070134713
2022.6.2,11335352439
2022.6.3,11164691358
2022.6.4,10871621689
2022.6.5,10598881411
2022.6.6,11916946817
2022.6.7,11050060740
2022.6.8,10281668049
2022.6.9,10602441464
2022.6.10,10723725137
2022.6.11,10710714397
2022.6.12,10102224636
2022.6.13,7944323779
2022.6.14,8038612913
2022.6.15,7842884153
2022.6.16,7415235554
2022.6.17,7443646215
2022.6.18,6840246769
2022.6.19,7003050105
2022.6.20,7049400302
2022.6.21,7164661442
2022.6.22,7000776080
2022.6.23,7228714143
2022.6.24,7302772634
2022.6.25,7717098760
2022.6.26,7480131859
2022.6.27,7466975190
2022.6.28,7434790737
2022.6.29,7389893304
2022.6.30,7231200358
2022.7.1,6967649128
2022.7.2,7116436501
2022.7.3,7079742094
2022.7.4,7760454835
2022.7.5,7613285233
2022.7.6,7905800423
2022.7.7,8840215202
2022.7.8,8398288196
2022.7.9,8289158961
2022.7.10,7948004930
2022.7.11,7650163006
2022.7.12,7593210522
2022.7.13,7884261937
2022.7.14,8147163386
2022.7.15,8334595033
2022.7.16,8352833783
2022.7.17,8330499644
2022.7.18,8709167686
2022.7.19,9489527781
2022.7.20,9029214189
2022.7.21,9025239675
2022.7.22,8890099729
2022.7.23,8846703668
2022.7.24,8824043947
2022.7.25,8125725136
2022.7.26,8240122415
2022.7.27,9309708467
2022.7.28,9344923394
2022.7.29,9373187470
2022.7.30,9303175860
2022.7.31,8991726717
2022.8.1,8884692869
2022.8.2,8678823676
2022.8.3,8858755529
2022.8.4,8655024184
